Vishakhapatnam, N 17° 40′ 48'', E 83° 12′ 5''
Chippada, N 20° 47′ 27'', E 85° 18′ 9''
Mandal Tada, N 17° 22′ 21'', E 76° 29′ 57''
Madhurawada, N 17° 49′ 21'', E 83° 21′ 50''
Nakkapalli Mandal, N 19° 0′ 23'', E 78° 1′ 31''
Keesarapalli, N 12° 45′ 20'', E 77° 52′ 20''
Duppituru, N 17° 32′ 2'', E 82° 58′ 49''
Gurujaplen  in Visakhapatnam District, ,
Atchutapuram, N 16° 50′ 2'', E 81° 47′ 35''
Rambilli Mandals, ,
Ramanakkapeta, N 16° 53′ 7'', E 80° 52′ 24''
A. V. Nagaram, ,
E-Bonangi, ,
Chengambakkam, N 13° 3′ 44'', E 79° 49′ 3''
Vardayya Palem, N 13° 35′ 54'', E 79° 55′ 57''
Chintavaram, N 15° 54′ 12'', E 79° 25′ 42''
Vakalapudi, N 17° 1′ 0'', E 82° 17′ 0''
Sarpavaram, N 17° 0′ 13'', E 82° 13′ 43''
Dawarkapuram, N 8° 56′ 55'', E 76° 33′ 3''
Palepolam, N 12° 8′ 13'', E 79° 16′ 28''
Pellakuru, N 13° 49′ 48'', E 79° 48′ 37''
Nellore, N 14° 26′ 59'', E 79° 59′ 13''
Annangi, N 16° 1′ 36'', E 74° 41′ 39''
Bodduvanipalem, N 14° 35′ 17'', E 79° 59′ 25''
Korispadu, N 15° 45′ 13'', E 80° 2′ 32''
Devunipalavalasa, ,
Regadichelika, N 14° 36′ 51'', E 79° 59′ 21''
Kuvakolli, N 11° 34′ 28'', E 76° 29′ 33''
Resapuvanipalem, N 17° 22′ 38'', E 82° 32′ 35''
Sy. No. 84-93 & 108, ,
Sy. No. 20/3, ,
Kodur, N 14° 30′ 1'', E 79° 59′ 6''
Settepalli, N 12° 31′ 16'', E 77° 40′ 19''
APIIC Industrial Park, ,
Chandigarh", N 30° 44′ 10'', E 76° 47′ 18''
Chandigarh", N 30° 44′ 10'', E 76° 47′ 18''
Mahroomkala, N 30° 28′ 51'', E 77° 24′ 48''
Chaveli, N 32° 31′ 55'', E 76° 6′ 3''
Kandla, N 23° 2′ 0'', E 70° 13′ 0''
Surat, N 21° 11′ 45'', E 72° 49′ 48''
Surat, N 21° 11′ 45'', E 72° 49′ 48''
Jamnagar, N 22° 28′ 22'', E 70° 4′ 0''
- Matoda, N 27° 30′ 12'', E 77° 40′ 19''
Chachanvadi Vasna on NH 8-A, ,
Gandhinagar Electronic Estate, ,
Taluke Vagra, N 22° 53′ 9'', E 88° 0′ 49''
Ahmedabad, N 23° 1′ 32'', E 72° 35′ 14''
Chharodi Taluka Dascroi, ,
Taluka Waghodia, ,
Rampara-II, N 25° 45′ 30'', E 85° 19′ 24''
Lunsapur, N 26° 16′ 20'', E 81° 47′ 26''
Jambusar, N 22° 3′ 8'', E 72° 48′ 2''
Vilayat, N 10° 54′ 7'', E 76° 9′ 49''
Vorasamni, N 21° 47′ 22'', E 72° 53′ 5''
Koba, N 25° 10′ 57'', E 75° 50′ 20''
Gandhinagar, N 23° 13′ 0'', E 72° 41′ 0''
Ankhol, N 22° 48′ 57'', E 88° 43′ 35''
Bapod, N 20° 43′ 50'', E 81° 12′ 20''
District Kutch, ,
Ognaj, N 24° 31′ 20'', E 73° 21′ 39''
Mundra, N 22° 50′ 21'', E 69° 43′ 18''
Phirozpur, N 33° 38′ 23'', E 74° 52′ 50''
